"ticker","month","avg_monthly_close","previous_month_close","monthly_return"
"AAPL","2020-02-01 00:00:00+01","77.141784123012",NULL,NULL
"TSLA","2020-02-01 00:00:00+01","53.584284918648855","77.141784123012","-30.53792373637332"
"LMT","2020-02-01 00:00:00+01","420.54571533203125","53.584284918648855","684.830320998964"
"META","2020-02-01 00:00:00+01","206.80642809186662","420.54571533203125","-50.824269383273155"
"MSFT","2020-02-01 00:00:00+01","178.125","206.80642809186662","-13.868731429917588"
"TSLA","2020-03-01 00:00:00+01","37.27342466874556","178.125","-79.07456860702003"
"AAPL","2020-03-01 00:00:00+01","65.61102294921875","37.27342466874556","76.02628020449855"
"MSFT","2020-03-01 00:00:00+01","152.5540910200639","65.61102294921875","132.5128982337874"
"LMT","2020-03-01 00:00:00+01","339.16091086647725","152.5540910200639","122.32174083215561"
"META","2020-03-01 00:00:00+01","165.747727134011","339.16091086647725","-51.13006191941043"
"LMT","2020-04-01 00:00:00+02","373.24666777111236","165.747727134011","125.18961449729775"
"TSLA","2020-04-01 00:00:00+02","44.2399050394694","373.24666777111236","-88.14727394522947"
"AAPL","2020-04-01 00:00:00+02","68.09654708135696","44.2399050394694","53.92561765357191"
"META","2020-04-01 00:00:00+02","177.00333513532365","68.09654708135696","159.92997108040225"
"MSFT","2020-04-01 00:00:00+02","169.0395246233259","177.00333513532365","-4.49924319556421"
"TSLA","2020-05-01 00:00:00+02","53.295033073425294","169.0395246233259","-68.47185107022534"
"META","2020-05-01 00:00:00+02","216.54900131225585","53.295033073425294","306.3211688299608"
"MSFT","2020-05-01 00:00:00+02","182.34249954223634","216.54900131225585","-15.796194654666163"
"AAPL","2020-05-01 00:00:00+02","77.49637565612792","182.34249954223634","-57.49955394344186"
"LMT","2020-05-01 00:00:00+02","376.07649993896484","77.49637565612792","385.2826945194399"
"META","2020-06-01 00:00:00+02","232.0463631369851","376.07649993896484","-38.29809542083992"
"TSLA","2020-06-01 00:00:00+02","64.2361516085538","232.0463631369851","-72.31753571132982"
"LMT","2020-06-01 00:00:00+02","383.4722733931108","64.2361516085538","496.97267627416045"
"AAPL","2020-06-01 00:00:00+02","86.45159010453658","383.4722733931108","-77.45558255370602"
"MSFT","2020-06-01 00:00:00+02","192.69954681396484","86.45159010453658","122.89878830563335"
"META","2020-07-01 00:00:00+02","239.21181765469638","192.69954681396484","24.137197834531083"
"TSLA","2020-07-01 00:00:00+02","97.34272766113281","239.21181765469638","-59.306890179795545"
"AAPL","2020-07-01 00:00:00+02","95.56624984741211","97.34272766113281","-1.8249722977816436"
"MSFT","2020-07-01 00:00:00+02","207.0804547396573","95.56624984741211","116.68785274121014"
"LMT","2020-07-01 00:00:00+02","368.66727100719106","207.0804547396573","78.03093559490276"
"AAPL","2020-08-01 00:00:00+02","117.29976181756882","368.66727100719106","-68.18275690784581"
"MSFT","2020-08-01 00:00:00+02","214.35333324614027","117.29976181756882","82.73978559267205"
"TSLA","2020-08-01 00:00:00+02","120.01990472702752","214.35333324614027","-44.008379571494885"
"LMT","2020-08-01 00:00:00+02","389.1038091750372","120.01990472702752","224.19939847478827"
"META","2020-08-01 00:00:00+02","268.7857171921503","389.1038091750372","-30.921848911728894"
"AAPL","2020-09-01 00:00:00+02","115.12523651123047","268.7857171921503","-57.168395064336906"
"MSFT","2020-09-01 00:00:00+02","208.80714271182106","115.12523651123047","81.37390987375032"
"LMT","2020-09-01 00:00:00+02","387.7352382114955","208.80714271182106","85.6906009899368"
"TSLA","2020-09-01 00:00:00+02","137.83174532935732","387.7352382114955","-64.45209726999973"
"META","2020-09-01 00:00:00+02","266.5519053141276","137.83174532935732","93.38934196703791"
"AAPL","2020-10-01 00:00:00+02","116.41318234530362","266.5519053141276","-56.3262614055929"
"LMT","2020-10-01 00:00:00+02","375.9690884676847","116.41318234530362","222.9609232333233"
"META","2020-10-01 00:00:00+02","269.7809101451527","375.9690884676847","-28.24385875852639"
"MSFT","2020-10-01 00:00:00+02","212.89045507257634","269.7809101451527","-21.087650361164194"
"TSLA","2020-10-01 00:00:00+02","142.40318090265447","212.89045507257634","-33.109645120487954"
"MSFT","2020-11-01 00:00:00+01","214.13899917602538","142.40318090265447","50.37515160732882"
"META","2020-11-01 00:00:00+01","276.3064987182617","214.13899917602538","29.031376713932307"
"AAPL","2020-11-01 00:00:00+01","116.8259994506836","276.3064987182617","-57.7186928311063"
"LMT","2020-11-01 00:00:00+01","370.1805023193359","116.8259994506836","216.8648280861507"
"TSLA","2020-11-01 00:00:00+01","155.20416564941405","370.1805023193359","-58.073381856420056"
"MSFT","2020-12-01 00:00:00+01","217.9631812355735","155.20416564941405","40.43642470777741"
"AAPL","2020-12-01 00:00:00+01","127.29045486450195","217.9631812355735","-41.60001971758383"
"META","2020-12-01 00:00:00+01","276.53090737082744","127.29045486450195","117.24402482903282"
"LMT","2020-12-01 00:00:00+01","356.8768199573864","276.53090737082744","29.054948450595873"
"TSLA","2020-12-01 00:00:00+01","212.93954467773438","356.8768199573864","-40.33248090947435"
