"ticker","month","avg_monthly_close"
"AAPL","2020-02-01 00:00:00+01","77.141784123012"
"AAPL","2020-03-01 00:00:00+01","65.61102294921875"
"AAPL","2020-04-01 00:00:00+02","68.09654708135696"
"AAPL","2020-05-01 00:00:00+02","77.49637565612792"
"AAPL","2020-06-01 00:00:00+02","86.45159010453658"
"AAPL","2020-07-01 00:00:00+02","95.56624984741211"
"AAPL","2020-08-01 00:00:00+02","117.29976181756882"
"AAPL","2020-09-01 00:00:00+02","115.12523651123047"
"AAPL","2020-10-01 00:00:00+02","116.41318234530362"
"AAPL","2020-11-01 00:00:00+01","116.8259994506836"
"AAPL","2020-12-01 00:00:00+01","127.29045486450195"
"LMT","2020-02-01 00:00:00+01","420.54571533203125"
"LMT","2020-03-01 00:00:00+01","339.16091086647725"
"LMT","2020-04-01 00:00:00+02","373.24666777111236"
"LMT","2020-05-01 00:00:00+02","376.07649993896484"
"LMT","2020-06-01 00:00:00+02","383.4722733931108"
"LMT","2020-07-01 00:00:00+02","368.66727100719106"
"LMT","2020-08-01 00:00:00+02","389.1038091750372"
"LMT","2020-09-01 00:00:00+02","387.7352382114955"
"LMT","2020-10-01 00:00:00+02","375.9690884676847"
"LMT","2020-11-01 00:00:00+01","370.1805023193359"
"LMT","2020-12-01 00:00:00+01","356.8768199573864"
"META","2020-02-01 00:00:00+01","206.80642809186662"
"META","2020-03-01 00:00:00+01","165.747727134011"
"META","2020-04-01 00:00:00+02","177.00333513532365"
"META","2020-05-01 00:00:00+02","216.54900131225585"
"META","2020-06-01 00:00:00+02","232.0463631369851"
"META","2020-07-01 00:00:00+02","239.21181765469638"
"META","2020-08-01 00:00:00+02","268.7857171921503"
"META","2020-09-01 00:00:00+02","266.5519053141276"
"META","2020-10-01 00:00:00+02","269.7809101451527"
"META","2020-11-01 00:00:00+01","276.3064987182617"
"META","2020-12-01 00:00:00+01","276.53090737082744"
"MSFT","2020-02-01 00:00:00+01","178.125"
"MSFT","2020-03-01 00:00:00+01","152.5540910200639"
"MSFT","2020-04-01 00:00:00+02","169.0395246233259"
"MSFT","2020-05-01 00:00:00+02","182.34249954223634"
"MSFT","2020-06-01 00:00:00+02","192.69954681396484"
"MSFT","2020-07-01 00:00:00+02","207.0804547396573"
"MSFT","2020-08-01 00:00:00+02","214.35333324614027"
"MSFT","2020-09-01 00:00:00+02","208.80714271182106"
"MSFT","2020-10-01 00:00:00+02","212.89045507257634"
"MSFT","2020-11-01 00:00:00+01","214.13899917602538"
"MSFT","2020-12-01 00:00:00+01","217.9631812355735"
"TSLA","2020-02-01 00:00:00+01","53.584284918648855"
"TSLA","2020-03-01 00:00:00+01","37.27342466874556"
"TSLA","2020-04-01 00:00:00+02","44.2399050394694"
"TSLA","2020-05-01 00:00:00+02","53.295033073425294"
"TSLA","2020-06-01 00:00:00+02","64.2361516085538"
"TSLA","2020-07-01 00:00:00+02","97.34272766113281"
"TSLA","2020-08-01 00:00:00+02","120.01990472702752"
"TSLA","2020-09-01 00:00:00+02","137.83174532935732"
"TSLA","2020-10-01 00:00:00+02","142.40318090265447"
"TSLA","2020-11-01 00:00:00+01","155.20416564941405"
"TSLA","2020-12-01 00:00:00+01","212.93954467773438"
